DataID,RiverID,SiteID,RiverSiteID,Continent,Country,RiverName,Biome,Realm,Eco_Biome,Conti_Biome,lon_ori,lat_ori,lon_HGV3,lat_HGV3,lon_HSV3,lat_HSV3,biodiv_ori,biodiv_rec,catch_area,elev,discharge,cum_prec,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,V_lc1,V_lc2,V_lc3,V_lc4,anthromes2017,gHM,HFP2009,HFP_Lights2009,HFP_Population2010,autocor
D001,NR001,S011,NR001_S011,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.20977577,43.14432736,-80.21040038,43.1439407,-80.2098,43.1439,14,NA,5222.733,202,35.413,4945873.5,8.05,9.666667,26.29076,993.4332,27,-9.7,36.8,19.216667,-3.6166666,20,-4.4,862,97,46,21.4763,266,153,256,156,4319.378,542.6664,15.161509,302.89047,12,0.791799,49,10,9,1072.85750408353
D001,NR001,S012,NR001_S012,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.20145485,43.12602133,-80.19952154,43.12605107,-80.2015,43.126,12,NA,5226.054,201,35.413,4948757.5,7.9375,9.616667,26.248865,988.6978,26.8,-9.8,36.6,19.05,-3.6666667,19.85,-4.4666667,869,96,47,20.894016,267,154,256,160,4316.34,547.79004,15.231121,304.21512,12,0.655668,37.75,9,7,1072.85750408353
D001,NR001,S013,NR001_S013,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.21143995,43.11353995,-80.21194559,43.1137779,-80.2129,43.1154,13,NA,5227.571,202,35.413,4950071,7.89375,9.554167,26.247711,985.3744,26.6,-9.8,36.4,18.983334,-3.6916666,19.75,-4.4750004,866,95.5,47,20.585155,264.5,155,254,160.5,4323.1377,543.22327,15.231121,303.5169,12,0.666289,37,8,7,1072.85750408353
D001,NR001,S014,NR001_S014,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.23307434,43.10438694,-80.23359782,43.10695676,-80.2343,43.1058,15,NA,5230.1904,202,35.413,4952328,7.9083333,9.5625,26.295296,984.9601,26.6,-9.7,36.35,18.983334,-3.6583333,19.75,-4.45,862.5,94,47,20.357582,262,155,251.5,160,4327.291,539.73364,15.161926,305.25803,12,0.610344,39,9,8,1072.85750408353
D001,NR001,S015,NR001_S015,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.24305945,43.0985623,-80.23949026,43.0994665,-80.2384,43.0993,4,NA,5237.419,207,35.413,4958614.5,7.883333,9.55,26.308538,984.03046,26.6,-9.7,36.3,18.966667,-3.6666667,19.733334,-4.45,863,93,47,20.08114,261,156,251,161,4322.776,551.8698,15.231121,304.9129,12,0.593305,36.75,8,7,1072.85750408353
D001,NR001,S016,NR001_S016,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.23141016,43.0877451,-80.22687729,43.09208167,-80.2242,43.0939,10,NA,5273.511,211,0.178,4991234,7.8625,9.533333,26.285583,983.38776,26.5,-9.7,36.3,18.9,-3.7166667,19.666666,-4.5166664,866,93,47,19.815239,261,157,250,162,4361.5864,548.76385,15.093487,308.32025,12,0.571662,20.4782,7,7,1072.85750408353
D001,NR001,S017,NR001_S017,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.21976087,43.09356974,-80.22028435,43.0937601,-80.21867026,43.09388666,0,NA,5274.182,210,0.178,4991812,7.8625,9.533333,26.285583,982.7862,26.5,-9.7,36.2,18.9,-3.7166665,19.666666,-4.5166664,865,93,47,19.61761,261,157,250,162,4372.837,544.40594,15.231121,302.4729,12,0.677774,33,8,7,1072.85750408353
D001,NR001,S018,NR001_S018,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.21060786,43.0977302,-80.20951331,43.09853922,-80.2104,43.0962,3,NA,5276.082,204,17.7955,4993458,7.8791666,9.508333,26.266113,981.54407,26.5,-9.7,36.2,18.916666,-3.6833334,19.683332,-4.45,864,93,47,19.747808,260,156,250,162,4369.3145,549.1817,15.299938,303.03195,12,0.564491,22,8,6,1072.85750408353
D001,NR001,S019,NR001_S019,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.19479811,43.09107347,-80.19479811,43.09292945,-80.1953,43.0956,6,NA,5309.1216,205,35.413,5022849,7.85,9.508333,26.243093,981.4448,26.5,-9.7,36.2,18.9,-3.6833334,19.683332,-4.45,870.5,94,48,19.682709,262,158.5,251.5,164,4419.821,547.005,15.301654,304.56128,12,0.643274,24,7,5,1072.85750408353
D001,NR001,S020,NR001_S020,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.18481301,43.08940928,-80.18476542,43.09207428,-80.18382862,43.09204308,4,NA,5310.4453,206,35.64,5024005.5,7.8458333,9.504167,26.243093,981.87646,26.5,-9.7,36.2,18.9,-3.6833334,19.683332,-4.45,871,94,48,19.73979,262.5,159,252,164,4421.2837,547.005,15.301654,304.56128,12,0.597931,21,6,3,1072.85750408353
D001,NR001,S021,NR001_S021,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.16317862,43.08940928,-80.16317862,43.08940928,-80.1632,43.0894,3,NA,5314.207,201,36.032,5027312,7.8625,9.466666,26.177284,979.9745,26.5,-9.7,36.2,18.9,-3.6833334,19.666666,-4.4333334,877,94,49,19.080751,263,161,253,168,4423.6133,550.3564,15.578636,302.47232,32,0.600692,20,5,3,1072.85750408353
D001,NR001,S022,NR001_S022,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.14487259,43.0977302,-80.14377804,43.096826,-80.1436,43.0964,2,NA,5317.017,201,36.032,5029799.5,7.8708334,9.45,26.200369,978.7944,26.5,-9.6,36.1,18.883333,-3.65,19.683332,-4.4,884,95,50,18.63879,263,164,254,170,4410.151,550.3638,15.787645,302.5445,32,0.569926,17,6,3,1072.85750408353
D001,NR001,S023,NR001_S023,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.13571958,43.10105857,-80.13586235,43.10381874,-80.1364,43.1021,10,NA,5324.978,202.5,36.032,5036816.5,7.866667,9.4625,26.223454,979.13306,26.5,-9.6,36.1,18.883333,-3.65,19.683332,-4.4,884.5,95,50,18.589031,264,164.5,255,170,4435.075,547.3534,15.650014,304.56128,32,0.576703,18,7,3,1072.85750408353
D001,NR001,S024,NR001_S024,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.13571958,43.10105857,-80.13586235,43.10381874,-80.13531409,43.10225723,3,NA,5324.978,202.5,36.032,5036816.5,7.866667,9.4625,26.223454,979.13306,26.5,-9.6,36.1,18.883333,-3.65,19.683332,-4.4,884.5,95,50,18.589031,264,164.5,255,170,4435.075,547.3534,15.650014,304.56128,32,0.576703,18,7,3,1072.85750408353
D001,NR001,S025,NR001_S025,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.12656657,43.10438694,-80.12789907,43.1063381,-80.12875,43.1064,7,NA,5732.281,200,36.032,5407349.5,7.8645835,9.45,26.223454,979.13306,26.5,-9.6,36.1,18.883333,-3.65,19.683332,-4.4,885.5,96,50,18.520292,265,165.5,256,171.5,4737.3076,616.0168,16.206173,324.18033,32,0.635557,29,8,3,1072.85750408353
D001,NR001,S026,NR001_S026,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.12656657,43.10438694,-80.12789907,43.1063381,-80.12785,43.107,4,NA,5732.281,200,36.032,5407349.5,7.8645835,9.45,26.223454,979.13306,26.5,-9.6,36.1,18.883333,-3.65,19.683332,-4.4,885.5,96,50,18.520292,265,165.5,256,171.5,4737.3076,616.0168,16.206173,324.18033,32,0.635557,29,8,3,1072.85750408353
D001,NR001,S027,NR001_S027,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.12407029,43.11437204,-80.12297574,43.11313472,-80.1228,43.1122,9,NA,5732.951,199,36.032,5407814,7.866667,9.441667,26.203703,979.0281,26.5,-9.5,36,18.883333,-3.65,19.683332,-4.4,888,96,50,18.344042,265,166,256,172,4732.22,621.4381,16.413862,324.32062,32,0.564124,30,7,3,1072.85750408353
D001,NR001,S028,NR001_S028,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.08995452,43.0977302,-80.08995452,43.0977302,-80.09,43.0977,3,NA,5741.3647,199,38.711,5415243.5,7.9125,9.375,26.067781,977.53503,26.5,-9.5,36,18.933332,-3.5666666,19.699999,-4.35,900,96,52,17.350649,267,171,257,178,4756.476,623.17035,16.413862,324.59644,32,0.540243,32,8,2,1072.85750408353
D001,NR001,S029,NR001_S029,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.06915222,43.09523393,-80.06886668,43.09631896,-80.06955692,43.09722718,9,NA,5745.484,199,38.711,5418970,7.9041667,9.366667,26.041666,978.29126,26.5,-9.5,36,18.933332,-3.6000001,19.699999,-4.366667,902,96,53,17.164576,267,173,257,180,4748.149,622.19885,16.414705,324.3187,32,0.537828,21,6,3,1072.85750408353
D001,NR001,S030,NR001_S030,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.06332758,43.08691301,-80.06052933,43.09102472,-80.05873231,43.09206205,6,NA,5749.6597,201,38.711,5422768.5,7.9083333,9.358334,26.021357,977.4622,26.5,-9.5,36,18.933332,-3.6000001,19.699999,-4.366667,909,96,53,16.794891,268,175,257,182,4757.2266,630.3834,16.275795,324.32016,32,0.537828,17,6,3,1072.85750408353
D001,NR001,S031,NR001_S031,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.04418946,43.0877451,-80.04377067,43.08707885,-80.0443,43.0864,6,NA,5752.281,199,39.697,5422280,7.925,9.325,25.97493,976.9094,26.5,-9.4,35.9,18.95,-3.55,19.7,-4.3166666,911,96,53,16.274796,268,177,256,184,4745.6167,622.0035,16.971205,324.32065,32,0.61346,17,6,3,1072.85750408353
D001,NR001,S032,NR001_S032,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.03503645,43.09107347,-80.03534102,43.09122576,-80.0346,43.0904,5,NA,5754.0054,199,39.697,5424688,7.925,9.291667,25.951717,976.174,26.4,-9.4,35.8,18.95,-3.5333333,19.716667,-4.3166666,913,95,54,16.150826,268,178,256,185,4768.1035,624.6345,16.901525,324.59644,32,0.479187,17,6,3,1072.85750408353
D001,NR001,S033,NR001_S033,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.99343185,43.08358464,-79.99136172,43.08672553,-79.9934,43.0871,12,NA,5955.8115,200,40.22,5611925,7.9208336,9.233334,25.792542,975.3969,26.4,-9.4,35.8,18.95,-3.5333333,19.708334,-4.2833333,916.5,94,55,15.146298,265,181,256,188,4943.811,632.9527,16.625381,329.32837,32,0.466169,43,9,4,1072.85750408353
D001,NR001,S034,NR001_S034,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.98427884,43.07942418,-79.98301773,43.08302311,-79.9832,43.0838,18,NA,5965.9946,206.5,40.22,5621142,7.9104166,9.216666,25.75652,975.5854,26.4,-9.4,35.8,18.95,-3.5333333,19.7,-4.2833333,919,94,55,14.992823,266,181,257,189,4951.0557,635.949,16.625381,329.32837,32,0.554759,43,9,4,1072.85750408353
D001,NR001,S035,NR001_S035,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.96430863,43.07276744,-79.96388033,43.0746948,-79.96296688,43.0753717,14,NA,5968.29,201,40.22,5622896.5,7.9416666,9.158333,25.653595,975.17444,26.4,-9.3,35.7,18.983334,-3.5166667,19.716667,-4.2666664,919,93,55,14.865741,264,181,257,189,4952.7275,636.2974,16.625381,329.39807,32,0.775161,45,10,5,1072.85750408353
D001,NR001,S036,NR001_S036,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.92852868,43.05945397,-79.92838591,43.06288039,-79.92633231,43.06212411,20,NA,6005.0903,199,40.22,5656393.5,8.025,9.141666,25.583567,976.9048,26.6,-9.2,35.8,19.116667,-3.4499998,19.85,-4.1666665,922,91,56,14.407285,264,183,256,191,4993.5024,630.7667,16.695053,330.93018,32,0.61333,31.75,9,5,1072.85750408353
D001,NR001,S037,NR001_S037,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.91854357,43.05362933,-79.91636874,43.05634192,-79.91630257,43.0544918,12,NA,6013.257,200,40.566,5663831,8.070833,9.120833,25.512821,977.7297,26.6,-9.1,35.7,19.166666,-3.3833334,19.916666,-4.116667,924,90,56,14.255379,264,183,255.5,192,4996.0483,638.3733,16.764784,331.07025,33,0.665357,36,9,5,1072.85750408353
D001,NR001,S038,NR001_S038,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.86495685,42.95535926,-79.86381471,42.95621587,-79.8638335,42.95616675,4,NA,6511.759,191.5,22.1125,6119263,8.222918,9.008333,25.387856,971.2599,26.5,-8.9,35.4,19.25,-3.1750002,20,-3.9083333,937,91,55,14.062806,263,186,257,195,5389.9893,711.32117,17.739103,336.44293,32,0.590246,38.75,8,5,1072.85750408353
D001,NR001,S039,NR001_S039,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.85330756,42.93705324,-79.85296492,42.93773852,-79.8529283,42.93784277,8,NA,6522.105,191,43.673,6128776,8.254167,8.966666,25.3305,971.2488,26.5,-8.9,35.4,19.266666,-3.1499999,20.016666,-3.8666666,942,92,55,14.134734,264,187,257,196,5419.743,712.91766,17.739103,337.5567,32,0.569735,35,8,5,1072.85750408353
D001,NR001,S040,NR001_S040,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.84165827,42.92873232,-79.84144412,42.93194459,-79.8417,42.9321,6,NA,6542.6294,191.5,43.673,6146862.5,8.2625,8.925,25.283285,970.39465,26.5,-8.8,35.3,19.283333,-3.1333334,20.016666,-3.8666666,941.5,92,55,14.278021,264,187,258,196,5439.574,716.7333,17.601475,337.97614,32,0.596572,24,7,5,1072.85750408353
D001,NR001,S041,NR001_S041,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.8283448,42.91458676,-79.82792839,42.9146165,-79.82776462,42.9146,7,NA,6548.6084,186,43.839,6152144,8.295834,8.875,25.213068,970.51874,26.5,-8.8,35.2,19.316666,-3.1,20.066668,-3.8166666,941,93,55,14.311209,263,187,257,197,5446.4854,715.5731,17.80899,337.976,33,0.49107,14.7282,3,5,1072.85750408353
D001,NR001,S042,NR001_S042,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.81669551,42.9104263,-79.81676689,42.91278197,-79.8166,42.9129,2,NA,6555.7026,200,43.839,6159635,8.285418,8.883333,25.236742,970.2787,26.5,-8.7,35.2,19.3,-3.1,20.05,-3.8166666,948.5,93.5,55,14.460566,265,187,258,197,5451.0894,718.468,17.74123,338.18463,33,0.45188,15,2,5,1072.85750408353
D001,NR001,S043,NR001_S043,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-79.80171786,42.91375467,-79.80171786,42.91375467,-79.8017,42.9138,8,NA,6558.0796,189,43.839,6161318.5,8.3,8.870833,25.236742,970.04126,26.5,-8.7,35.15,19.316666,-3.1,20.058332,-3.8,943,93,55,14.399097,264,187,256,197,5449.803,714.18695,18.018618,338.11603,33,0.402593,14,1,5,1072.85750408353
D001,NR002,S001,NR002_S001,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.36418296,42.71651579,-82.36614602,42.7195734,-82.3648,42.7229,7,NA,998.92395,182.5,1.733,929770.75,8.558333,9.433333,25.987144,996.62006,27.5,-8.8,36.3,19.983334,-3.2166667,20.5,-3.9166667,875.5,100,53,17.97853,253,168,238,176,963.53375,24.06441,5.876116,5.1031837,33,0.605047,15.7362,3,3,1277.58228713744
D001,NR002,S002,NR002_S002,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.38732159,42.70648905,-82.38967726,42.70791673,-82.38701446,42.70703538,8,NA,1019.07227,182,5.025,947775.5,8.591667,9.433333,25.987144,996.77167,27.5,-8.8,36.3,20,-3.1666667,20.516666,-3.8833334,870,98,53,17.706093,250,168,236,175,975.0565,26.305439,5.9458175,5.0331926,33,0.588361,18.9384,3,3,1277.58228713744
D001,NR002,S003,NR002_S003,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.39580575,42.69569102,-82.39723343,42.69388263,-82.3931,42.6927,4,NA,1035.6533,183,5.025,962398.1,8.608334,9.416667,25.94123,997.6708,27.5,-8.8,36.3,20.050001,-3.1666667,20.566668,-3.8833334,865,97,53,17.581661,249,167,236,174,992.90826,25.745916,6.0155215,5.1028595,33,0.4993,9.72561,3,3,1277.58228713744
D001,NR002,S004,NR002_S004,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.40351863,42.68720686,-82.40289997,42.68782552,-82.40202843,42.68454797,4,NA,1041.9816,182,5.025,967440.56,8.629167,9.408334,25.918274,997.58875,27.5,-8.8,36.3,20.050001,-3.1166668,20.6,-3.8500001,862,97,53,17.581661,249,166,236,174,1004.22156,25.675865,6.0155215,5.312508,33,0.4993,16.8268,3,3,1277.58228713744
D001,NR002,S005,NR002_S005,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.39657704,42.66483951,-82.39671981,42.66705241,-82.3953,42.6654,2,NA,1050.6608,180.5,5.025,975273.06,8.641666,9.4125,25.929752,997.6244,27.5,-8.8,36.3,20.050001,-3.1083333,20.608334,-3.8500001,855.5,96,53,17.452114,247.5,166,235,173,1013.9301,26.165577,5.9458175,5.3824997,33,0.628043,15.568,2,3,1277.58228713744
D001,NR002,S006,NR002_S006,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.38886416,42.65558406,-82.38886416,42.6571902,-82.3866,42.659,2,NA,1052.9653,179,5.025,977015.06,8.654167,9.416667,25.94123,998.3812,27.5,-8.8,36.3,20.033333,-3.1,20.625,-3.8416667,853,94,53,17.033749,246,166,235,173,1008.9179,25.95591,6.0155215,5.242599,12,0.666739,10.7362,2,3,1277.58228713744
D001,NR002,S007,NR002_S007,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.37498098,42.65095634,-82.37374366,42.65119429,-82.3763,42.6509,2,NA,1061.1409,180,5.025,984257.44,8.6375,9.408334,25.918274,998.2055,27.5,-8.8,36.3,20.033333,-3.1166668,20.616667,-3.8500001,855,95,53,17.34091,247,166,235,173,1024.9187,25.605854,6.0155215,5.312433,12,0.714814,21.25,2,3,1277.58228713744
D001,NR002,S008,NR002_S008,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.37806614,42.64247217,-82.37806614,42.64247217,-82.3763,42.6424,3,NA,1062.1323,178,5.025,985101.1,8.6375,9.4,25.895317,998.3133,27.5,-8.8,36.3,20.033333,-3.1166668,20.616667,-3.8500001,854,94,53,17.18471,246,166,235,173,1025.9712,25.605854,6.0155215,5.312433,12,0.697197,22.4875,5,5,1277.58228713744
D001,NR002,S009,NR002_S009,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.37806614,42.63321672,-82.37368793,42.63393056,-82.3755,42.6329,3,NA,1069.7418,178,5.025,991604.94,8.641666,9.4,25.895317,998.46045,27.5,-8.8,36.3,20.066668,-3.1166668,20.616667,-3.8333333,854,95,53,17.231903,246,166,235,173,1026.1165,24.345436,6.0155215,5.522079,12,0.691748,24.2049,6,6,1277.58228713744
D001,NR002,S010,NR002_S010,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.37575227,42.61856226,-82.37708477,42.62213145,-82.3772,42.6204,2,NA,1071.9023,177,5.025,993625.94,8.664583,9.4,25.906796,998.36865,27.5,-8.8,36.3,20.066668,-3.0833333,20.65,-3.8083334,852,93.5,52,17.05027,245,166,234.5,173,1035.6077,26.725681,5.876116,4.9633684,12,0.673991,30.3899,8,7,1277.58228713744
D001,NR002,S011,NR002_S011,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.39117803,42.60930681,-82.38875098,42.60944958,-82.3821,42.6096,2,NA,1073.9873,176,5.025,995164.06,8.727083,9.3875,25.860882,998.92957,27.6,-8.7,36.3,20.116667,-3.025,20.716667,-3.7666667,849,93,51.5,16.834145,244.5,167.5,233,172.5,1037.2617,25.115719,6.0155215,5.45217,12,0.73912,32.3074,9,8,1277.58228713744
D001,NR002,S012,NR002_S012,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.38577901,42.58925333,-82.38702823,42.5920492,-82.38807157,42.59214264,8,NA,1468.0569,177,14.276,1392688,8.783334,9.35,25.82873,999.8371,27.6,-8.6,36.2,20.183334,-2.9666667,20.8,-3.7,837,88,51,16.262794,240,167,233,172,1418.089,39.511585,2.4458165,7.689798,12,0.867537,45.3899,10,8,1277.58228713744
D001,NR002,S013,NR002_S013,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.39503446,42.58231174,-82.39372576,42.58290661,-82.3937,42.5823,2,NA,1468.6006,176.5,14.276,1392967,8.791667,9.316668,25.736649,998.6453,27.6,-8.6,36.2,20.175,-2.9416666,20.783333,-3.6833334,835.5,88,50.5,16.536612,240.5,166.5,233.5,171.5,1413.8485,40.353504,2.4458165,8.3219,32,0.736996,35.6283,9,7,1277.58228713744
D001,NR003,S001,NR003_S001,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.35801266,42.59542363,-82.35807215,42.59798155,-82.35690708,42.59701641,4,NA,1466.8181,176,8.946,1391731.1,8.704166,9.341667,25.73462,999.69995,27.6,-8.7,36.3,20.133333,-3.05,20.7,-3.7666667,853,93,52,17.210226,247,167,235,173,1419.1401,39.511993,2.4458165,6.706636,12,0.729645,34.8377,9,7,2468.64444613771
D001,NR003,S002,NR003_S002,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.3055651,42.59619492,-82.30704988,42.59722285,-82.3064,42.597,7,NA,1448.2511,177,8.472,1375695.8,8.6125,9.308333,25.713629,998.1121,27.4,-8.8,36.2,20.033333,-3.1833334,20.566668,-3.8666668,866,96,52,17.789942,251,166,239,173,1394.3267,39.721798,2.4458165,6.566019,33,0.699401,21.3944,2,4,2468.64444613771
D001,NR003,S003,NR003_S003,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.2870542,42.59310976,-82.29042352,42.59533694,-82.2872,42.5987,1,NA,1446.9238,177,4.191,1374486.6,8.5875,9.316667,25.701168,999.5066,27.4,-8.85,36.25,20.008333,-3.2416668,20.541666,-3.925,872.5,98,52,18.373053,254,165.5,241,173,1400.5964,38.81105,2.4458165,7.057012,33,0.714155,26.2835,3,4,2468.64444613771
D001,NR003,S004,NR003_S004,NA,Canada,Sydenham River,2,Nearctic,NE04,NA2,-82.27085716,42.59619492,-82.27017188,42.59596649,-82.27054289,42.5962573,6,NA,1409.3171,178,8.02,1340959,8.577084,9.3125,25.702118,999.31946,27.349998,-8.9,36.199997,19.991667,-3.2666667,20.525,-3.9166665,875.5,98.5,52,18.461609,255.5,166,242,173.5,1360.4424,41.19629,2.4458165,7.2677965,33,0.630452,27.1109,4,4,2468.64444613771
