ItemID,RivID,DataID,Continent,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB,SR_Re,Redundancy_Re,MNTD_Re,GD_Re,SR_Ori,Redundancy_Ori,MNTD_Tre,GD.12S_Tre,GD.16S_Tre,GDvalue.COI_Tre
I037,NR062,D015,Asia,Thailand,2016,11,MiFish,12S,170,0.1,6,0.6,Custom_db,93,9.531088423,0.02087194,0.054998634,93,10.07678763,86.38064693,0.008289514,0.017277878,0.024726941
I038,NR079,D016,North_America,US,2018,3,MiFish,12S,170,0.12,1,0.12,Global_db,17,5.570329737,0.009659004,0.012987905,NA,NA,45.79131382,0.000778502,0.000305465,0.022230335
I040,NR085,D018,South_America,Brasil,2019,NA,MiFish,12S,170,1,6,6,Custom_db,28,1.387561185,0.028151752,0.060144906,NA,NA,89.93646826,0,0.014235904,0.029472985
I041,NR085,D018,South_America,Brasil,2020,NA,MiFish,12S,170,1,6,6,Custom_db,24,1.346576078,0.028151752,0.060144906,NA,NA,95.12373924,0,0.01682425,0.030950658
I043,NR022,D020,North_America,US,2015,8,Riaz03,12S,130,0.3,3,0.9,Custom_db,32,4.135958907,NA,NA,54,6.457707571,66.53992616,0.000244672,0.000216383,0.010277482
I044,NR023,D021,Europe,Germany,2019,6,COI313,COI,316,0.2,3,0.6,Global_db,8,0.373008554,NA,NA,5,0.041008856,196.6758107,1.83E-05,0.011389012,0.006755771
I045,NR096,D022,Europe,Switzerland,2018,10,Riaz01,12S,106,0.5,2,1,Global_db,14,1.581199484,NA,NA,15,1.465941225,108.2735626,2.24E-05,0,0.010062361
I046,NR096,D022,Europe,Switzerland,2018,5,Riaz01,12S,106,0.5,2,1,Global_db,14,1.595635779,NA,NA,12,0.87701328,104.3905612,2.49E-05,0,0.010639824
I047,NR096,D022,Europe,Switzerland,2018,8,Riaz01,12S,106,0.5,2,1,Global_db,11,1.31178104,NA,NA,10,1.072809378,118.8339261,1.63E-05,0,0.011073302
I048,NR024,D023,Europe,France,NA,NA,Riaz01,12S,230,1,3,3,Global_db,NA,NA,NA,NA,22,1.450109933,NA,NA,NA,NA
I049,NR086,D024,South_America,Peru,2018,NA,MiFish,12S,170,0.25,3,0.75,Global_db,97,3.264534122,0.016632329,0.052001602,NA,NA,63.38124102,0.001777054,0.007273438,0.014386476
I050,NR080,D025,North_America,USA,2019,5,COI313,COI,313,3,3,9,Global_db,2,0,NA,NA,6,0.239165233,354.9544737,0.000275108,0.001680058,0.00361612
I051,NR025,D026,North_America,US,2012,NA,AK12S,12S,200,2,1,2,Global_db,1,0,NA,NA,3,0,NA,NA,0,0.014693967
I052,NR025,D026,North_America,US,2012,NA,AK16S,16S,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I053,NR025,D026,North_America,US,2012,NA,AKCOIPro,COI,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I054,NR025,D026,North_America,US,2012,NA,AKCOISal,COI,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I055,NR025,D026,North_America,US,2013,NA,AK12S,12S,200,2,1,2,Global_db,5,0.081676207,NA,NA,3,0,103.3960767,0,0.022778024,0.024506583
I056,NR026,D026,North_America,US,2013,NA,AK12S,12S,200,2,1,2,Global_db,2,0,NA,NA,3,0,47.08305662,0,0,0.030409628
I057,NR025,D026,North_America,US,2013,NA,AK16S,16S,200,2,1,2,Global_db,4,0.379889406,NA,NA,1,0,62.2779256,0,0,0.029630379
I058,NR026,D026,North_America,US,2013,NA,AK16S,16S,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I059,NR025,D026,North_America,US,2013,NA,AKCOIPro,COI,200,2,1,2,Global_db,1,0,NA,NA,1,-1.11E-16,NA,NA,0,0.014693967
I060,NR026,D026,North_America,US,2013,NA,AKCOIPro,COI,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I061,NR025,D026,North_America,US,2013,NA,AKCOISal,COI,200,2,1,2,Global_db,1,0,NA,NA,0,NA,NA,NA,0,0.014693967
I062,NR026,D026,North_America,US,2013,NA,AKCOISal,COI,200,2,1,2,Global_db,0,NA,NA,NA,1,NA,NA,NA,NA,NA
I063,NR025,D026,North_America,US,2014,NA,AK12S,12S,200,2,1,2,Global_db,1,0,NA,NA,2,0,NA,NA,0,0.014693967
I064,NR026,D026,North_America,US,2014,NA,AK12S,12S,200,2,1,2,Global_db,6,0.841260004,NA,NA,3,0,30.05246782,0.001122761,0,0.063978258
I065,NR025,D026,North_America,US,2014,NA,AK16S,16S,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I066,NR026,D026,North_America,US,2014,NA,AK16S,16S,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I067,NR025,D026,North_America,US,2014,NA,AKCOIPro,COI,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I068,NR026,D026,North_America,US,2014,NA,AKCOIPro,COI,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I069,NR025,D026,North_America,US,2014,NA,AKCOISal,COI,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I070,NR026,D026,North_America,US,2014,NA,AKCOISal,COI,200,2,1,2,Global_db,0,NA,NA,NA,1,NA,NA,NA,NA,NA
I071,NR026,D026,North_America,US,2015,NA,AK12S,12S,200,2,1,2,Global_db,6,0.841260004,NA,NA,3,0,30.05246782,0.001122761,0,0.063978258
I072,NR026,D026,North_America,US,2015,NA,AK16S,16S,200,2,1,2,Global_db,0,NA,NA,NA,1,0,NA,NA,NA,NA
I073,NR026,D026,North_America,US,2015,NA,AKCOIPro,COI,200,2,1,2,Global_db,0,NA,NA,NA,0,NA,NA,NA,NA,NA
I074,NR026,D026,North_America,US,2015,NA,AKCOISal,COI,200,2,1,2,Global_db,0,NA,NA,NA,1,NA,NA,NA,NA,NA
I075,NR027,D027,Europe,Russia,2017,8,Ac12S,12S,385,0.25,6,1.5,Custom_db,NA,NA,NA,NA,21,1.505699032,NA,NA,NA,NA
I076,NR027,D027,Europe,Russia,2017,8,Ac16S,16S,330,0.25,6,1.5,Custom_db,NA,NA,NA,NA,18,0.908478204,NA,NA,NA,NA
I077,NR027,D027,Europe,Russia,2017,8,Cytb01,CytB,413,0.25,6,1.5,Custom_db,NA,NA,NA,NA,16,1.003186876,NA,NA,NA,NA
I082,NR028,D029,Asia,Japan,2017,8,MiFish,12S,170,0.7,1,0.7,Global_db,NA,NA,NA,NA,33,3.606310315,NA,NA,NA,NA
I083,NR092,D030,Oceania,Australia,2013,4,Riaz01,12S,130,1,1,1,Global_db,NA,NA,NA,NA,9,1.298355916,NA,NA,NA,NA
I084,NR092,D030,Oceania,Australia,2013,4,V16S01,16S,100,1,1,1,Global_db,NA,NA,NA,NA,4,0.049248595,NA,NA,NA,NA
I085,NR038,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,9,2.424841693,NA,NA,NA,NA
I086,NR037,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,14,0.604072242,NA,NA,NA,NA
I087,NR036,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,11,0.968861338,NA,NA,NA,NA
I088,NR035,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,5,0.077475389,NA,NA,NA,NA
I089,NR039,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,47,4.089769608,NA,NA,NA,NA
I090,NR029,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
I091,NR030,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,2,0.077288327,NA,NA,NA,NA
I092,NR031,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,1,0,NA,NA,NA,NA
I093,NR032,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,12,0.650257759,NA,NA,NA,NA
I094,NR033,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,10,1.22980774,NA,NA,NA,NA
I095,NR034,D031,Asia,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db,NA,NA,NA,NA,10,1.255425436,NA,NA,NA,NA
I096,NR040,D032,Europe,France,2017,7,Teleo,12S,108,30,2,60,Custom_db,NA,NA,NA,NA,21,1.462419964,NA,NA,NA,NA
I097,NR040,D032,Europe,France,2018,7,Teleo,12S,108,30,2,60,Custom_db,NA,NA,NA,NA,23,1.739863869,NA,NA,NA,NA
I098,NR041,D033,Europe,France,Multiple,Multiple,Teleo,12S,108,30,3,90,Custom_db,NA,NA,NA,NA,40,3.149264487,NA,NA,NA,NA
I100,NR042,D035,South_America,Colombia,2019,7,Riaz01,12S,130,42.33,7,296.31,Global_db,NA,NA,NA,NA,40,1.594204915,NA,NA,NA,NA
I101,NR043,D036,Oceania,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db,NA,NA,NA,NA,5,0.784412441,NA,NA,NA,NA
I102,NR044,D036,Oceania,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db,NA,NA,NA,NA,11,2.082251141,NA,NA,NA,NA
I103,NR047,D036,Oceania,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db,NA,NA,NA,NA,11,1.108323994,NA,NA,NA,NA
I104,NR046,D036,Oceania,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db,NA,NA,NA,NA,6,0.819232907,NA,NA,NA,NA
I105,NR045,D036,Oceania,New Zealand,2020,NA,V16S03,16S,80,1,3,3,Global_db,NA,NA,NA,NA,7,1.2529085,NA,NA,NA,NA
I106,NR048,D037,Asia,Japan,2018,10,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,20,1.200267265,NA,NA,NA,NA
I107,NR048,D037,Asia,Japan,2018,11,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,14,0.89116173,NA,NA,NA,NA
I108,NR048,D037,Asia,Japan,2018,12,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,19,1.118320056,NA,NA,NA,NA
I109,NR048,D037,Asia,Japan,2019,1,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,20,1.293584526,NA,NA,NA,NA
I110,NR048,D037,Asia,Japan,2019,2,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,15,0.879549308,NA,NA,NA,NA
I111,NR048,D037,Asia,Japan,2019,3,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,15,0.89116173,NA,NA,NA,NA
I112,NR048,D037,Asia,Japan,2019,4,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,12,0.89116173,NA,NA,NA,NA
I113,NR048,D037,Asia,Japan,2019,5,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,16,1.347694109,NA,NA,NA,NA
I114,NR048,D037,Asia,Japan,2019,6,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,14,0.879549308,NA,NA,NA,NA
I115,NR048,D037,Asia,Japan,2019,7,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,14,1.125539352,NA,NA,NA,NA
I116,NR048,D037,Asia,Japan,2019,8,MiFish,12S,170,0.9,1,0.9,Global_db,NA,NA,NA,NA,20,0.935227889,NA,NA,NA,NA
I119,NR050,D039,Europe,multiple,2019,7,Teleo,12S,108,28.73,2,57.46,Custom_db,25,1.712920058,NA,NA,49,3.341784503,130.4677975,0.000195285,0.001012048,0.010157324
I120,NR051,D040,Asia,China,2021,6,Riaz01,12S,130,2,1,2,Global_db,NA,NA,NA,NA,12,1.030150437,NA,NA,NA,NA
I127,NR053,D043,South_America,multiple,2017,7,MiFish,12S,170,10,3,30,Global_db,NA,NA,NA,NA,221,4.420754837,NA,NA,NA,NA
I128,NR056,D044,Asia,China,2018,5,Ac12S,12S,390,1,3,3,Global_db,NA,NA,NA,NA,39,3.485466484,NA,NA,NA,NA
I129,NR057,D044,Asia,China,2018,5,Ac12S,12S,390,1,3,3,Global_db,NA,NA,NA,NA,46,3.590728618,NA,NA,NA,NA
I130,NR055,D044,Asia,China,2018,5,Ac12S,12S,390,1,3,3,Global_db,NA,NA,NA,NA,45,4.085330477,NA,NA,NA,NA
I131,NR054,D044,Asia,China,2018,5,Ac12S,12S,390,1,3,3,Global_db,NA,NA,NA,NA,35,3.189134912,NA,NA,NA,NA
I132,NR063,D045,Asia,China,2022,10,Tele02,12S,170,3,6,18,Global_db,114,14.45162007,0.022052602,0.053694525,105,9.420468122,82.93299756,0.001079636,0.011116254,0.022984628
I133,NR064,D046,Asia,China,2019,10,MiFish,12S,170,2,3,6,Global_db,9,0.975881456,0.051582857,0.019610374,9,0.721327172,152.7074629,0.000682366,0.005565986,0.038771525
I134,NR064,D046,Asia,China,2019,4,MiFish,12S,170,2,3,6,Global_db,10,0.851351455,0.051582857,0.019610374,13,0.739489636,152.5050349,0.000796093,0.005565986,0.035681834
I135,NR081,D047,North_America,US,2021,3,Riaz01,12S,230,3,2,6,Custom_db,NA,NA,NA,NA,40,4.302811292,NA,NA,NA,NA
I136,NR093,D048,Oceania,Australia,2018,5,V16S01,16S,200,1,10,10,Global_db,8,0.473199897,NA,NA,44,0.621715914,193.5669556,0,9.56E-05,0.004428192
I137,NR093,D048,Oceania,Australia,2018,5,MiFish,12S,170,1,10,10,Global_db,9,0.633416994,0.072917742,0.010819219,27,0.838397611,219.0131326,0.00077776,0.000319008,0.03419451
I138,NR093,D048,Oceania,Australia,2018,5,V16S02,16S,200,1,10,10,Global_db,NA,NA,NA,NA,3,-1.11E-16,NA,NA,NA,NA
I139,NR093,D048,Oceania,Australia,2018,5,V16S03,16S,80,1,10,10,Global_db,6,0.125277553,NA,NA,48,0.700871285,228.2251678,0.001195152,0.00038281,0.042252524
I140,NR067,D049,Europe,Italy,2019,9,Tele02,12S,170,1,2,2,Global_db,NA,NA,NA,NA,4,0.316559913,NA,NA,NA,NA
I141,NR067,D049,Europe,Italy,2020,1,Tele02,12S,170,1,2,2,Global_db,NA,NA,NA,NA,5,0.316559913,NA,NA,NA,NA
I142,NR082,D050,North_America,US,2018,10,Ac16S,16S,330,0.25,3,0.75,Global_db,35,4.128840526,NA,NA,48,5.115380016,100.4215333,0.000170719,0.003504311,0.011213548
I143,NR082,D050,North_America,US,2018,10,Am12S,12S,241,0.25,3,0.75,Global_db,36,2.868846417,NA,NA,47,3.163867187,134.5947608,0.000408543,0.003241799,0.010356383
I144,NR082,D050,North_America,US,2018,7,Ac16S,16S,330,0.25,3,0.75,Global_db,21,1.963254803,NA,NA,2,0,118.0363596,0.000129821,0.00016621,0.009597055
I145,NR082,D050,North_America,US,2018,7,Am12S,12S,241,0.25,3,0.75,Global_db,23,1.687474641,NA,NA,9,0.683908361,138.2027826,0.000110072,0.000157462,0.01167466
I146,NR082,D050,North_America,US,2018,8,Ac16S,16S,330,0.25,3,0.75,Global_db,36,3.800869322,NA,NA,36,3.069593423,99.00621255,0.006573701,0.012534043,0.0104198
I147,NR082,D050,North_America,US,2018,8,Am12S,12S,241,0.25,3,0.75,Global_db,46,3.728656412,NA,NA,42,2.834097882,111.3838762,0.000472884,0.002576815,0.010609001
I148,NR068,D051,Europe,Germany,2020,9,Tele02,12S,170,1,1.5,1.5,Global_db,NA,NA,NA,NA,46,3.60941548,NA,NA,NA,NA
I149,NR068,D051,Europe,Germany,2021,3,Tele02,12S,170,1,1.5,1.5,Global_db,NA,NA,NA,NA,52,4.243587842,NA,NA,NA,NA
I150,NR069,D052,Europe,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,16,1.708144517,0.028908289,0.015349072,48,3.832083829,110.2072493,0.000217394,0.005484611,0.012131164
I151,NR070,D052,Europe,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,31,2.213292397,0.014512449,0.012888138,59,4.744039115,125.5691604,0.002387611,0.006469041,0.013609918
I152,NR071,D052,Europe,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,10,0.870816633,0.066273214,0.022953657,34,2.965452724,108.3212195,0.000197995,0.006447668,0.013733384
I153,NR072,D052,Europe,Switzerland,2019,9,MiFish,12S,170,0.5,4,2,Custom_db,10,0.430211099,0.107682941,0.021137852,29,2.749792848,147.0998657,0.00021639,0.008439366,0.015010316
I154,NR065,D053,Asia,Japan,2023,8,MiFish,12S,170,400,1,400,Global_db,19,1.372736773,0.030557123,0.027558743,52,3.169716895,105.0925526,0.038707307,0.006964835,0.023086141
I155,NR083,D054,North_America,US,multiple,multiple,MiFish,12S,170,0.35,1,0.35,Custom_db,3,0.099695721,0.579983333,NA,64,7.00503369,234.0535427,0.000688485,0,0.008514095
I156,NR084,D054,North_America,US,multiple,multiple,MiFish,12S,170,0.35,1,0.35,Custom_db,0,NA,NA,NA,36,2.98999671,NA,NA,NA,NA
I157,NR094,D055,Oceania,Australia,2021,3,MiFish,12S,170,2,4,8,Custom_db,3,1.451615052,0.008817556,0.008987336,11,1.273650523,229.9041521,0,0,0.019673049
I158,NR095,D056,Africa,Madagascar,2021,11,MiFish,12S,170,0.56,3,1.68,Global_db,2,0,0.007503,0.021436352,14,0.789097452,385.5655659,0,0.006733415,0.034426265
I159,NR095,D056,Africa,Madagascar,2021,11,Riaz02,12S,230,0.56,3,1.68,Global_db,NA,NA,NA,NA,13,0.615806656,NA,NA,NA,NA
I160,NR095,D056,Africa,Madagascar,2021,11,Tele02,12S,170,0.56,3,1.68,Global_db,2,0,0.007503,0.021436352,14,0.590596012,385.5655659,0,0.006733415,0.034426265
I161,NR104,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,9,0.299212325,0.113461579,0.033242516,73,1.405470712,177.3479987,0,0.000181138,0.019925176
I162,NR110,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,8,0.272926229,0.07208,0.007171539,58,1.484305528,155.1471893,0,0.001540955,0.016987356
I163,NR108,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,6,-1.11E-16,0.134073077,0.009647372,45,0.745731593,179.2701216,0,0.038709677,0.014855433
I164,NR109,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,5,0,0.338148333,0.005988024,68,1.741844654,159.5357947,0,0.000181138,0.014173528
I165,NR111,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,3,0,0.480166667,NA,25,1.346343558,229.904152,0,0.026047968,0.020236582
I166,NR105,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,6,0.390187929,0.025183793,0.018713209,63,1.111126241,153.4413267,0,0.002326741,0.026790241
I167,NR106,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,7,0.390187929,0.139932,0.012546336,58,1.593529681,164.6875063,0,0.002326741,0.023375453
I168,NR107,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,9,0.272926229,0.149378,0.02814909,57,1.212368605,174.4331132,0,0.017024826,0.016846681
I169,NR112,D057,North_America,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db,3,0,0.192228,0.039447732,31,0.769455908,219.0951091,0,0.039071952,0.007770172
I170,NR113,D058,Europe,Spain,2019,8,BCOI,COI,421,1.5,1,1.5,Global_db,1,0,NA,NA,2,0,NA,0.000114051,0,0.003892584
I171,NR097,D058,Europe,Spain,2019,8,BCOI,COI,421,1.5,1,1.5,Global_db,1,0,NA,NA,1,0,NA,0.000114051,0,0.003892584
I172,NR100,D059,South_America,Columbia,2018,10,Chon01,12S,83,30,2,60,Custom_db,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
I173,NR100,D059,South_America,Columbia,2018,10,Teleo,12S,108,30,2,60,Custom_db,7,1.613276427,NA,NA,22,0.74305714,192.8104065,0,0.029930101,0.020106549
I174,NR100,D059,South_America,Columbia,2018,10,Riaz03,12S,99,30,2,60,Custom_db,8,0.335820848,NA,NA,28,1.017689632,218.8882979,0.004418402,0.022432366,0.021097407
I175,NR098,D060,Europe,Switzerland,2020,6,Riaz03,12S,99,30,3,90,Global_db,12,1.128805745,NA,NA,3,NA,93.66905705,2.49E-05,2.06E-05,0.010987258
I176,NR099,D060,Europe,Switzerland,2020,6,Riaz03,12S,99,30,3,90,Global_db,12,1.128805745,NA,NA,11,0.664614435,93.66905705,2.49E-05,2.06E-05,0.010987258
I177,NR101,D061,Asia,China,2019,11,Tele02,12S,170,0.3,3,0.9,Global_db,NA,NA,NA,NA,36,4.744540864,NA,NA,NA,NA
